Number,City,Gender,Age,Income,Illness
1,Dallas,Male,41,40367,No
2,Dallas,Male,54,45084,No
3,Dallas,Male,42,52483,No
4,Dallas,Male,40,40941,No
5,Dallas,Male,46,50289,No
6,Dallas,Female,36,50786,No
7,Dallas,Female,32,33155,No
8,Dallas,Male,39,30914,No
9,Dallas,Male,51,68667,No
10,Dallas,Female,30,50082,No
11,Dallas,Female,48,-6000,Yes
12,,Male,47,54777,No
13,Dallas,Male,46,62749,No
14,Dallas,Female,42,50894,No
15,Dallas,Female,61,38429,No
16,Dallas,Male,43,34074,No
17,,Male,,50398,No
18,Dallas,Male,38,-3332,Yes
19,Dallas,Male,47,51137,No
20,Dallas,Female,35,23688,No
21,Dallas,Male,57,17378,No
22,Dallas,Male,33,45919,No
23,Dallas,Female,33,23001,No
24,Dallas,Female,27,34292,Yes
25,Dallas,Male,58,55190,No
26,Dallas,Male,64,26169,No
27,Dallas,,58,57322,No
28,Dallas,Male,44,61704,No
29,Dallas,Male,34,53619,No
30,Dallas,Male,45,47421,Yes
31,Dallas,Female,44,40353,
32,Dallas,Male,39,28125,No
33,,Female,55,42630,No
34,Dallas,Male,27,56645,No
35,Dallas,Female,63,41946,No
36,Dallas,Male,41,50312,No
37,Dallas,Male,64,47872,No
38,Dallas,Female,41,29538,No
39,Dallas,Female,61,39881,Yes
40,Dallas,Female,59,48518,No
41,Dallas,Female,26,16168,Yes
42,Dallas,Male,41,68522,No
43,Dallas,Female,47,50750,No
44,Dallas,Female,58,49614,No
45,Dallas,Male,33,56169,No
46,Dallas,Female,30,40661,No
47,Dallas,Male,51,53730,No
48,Dallas,Female,45,34613,No
49,Dallas,Female,38,35249,No
50,Dallas,Female,56,52218,No
51,Dallas,Female,55,47702,No
52,Dallas,Male,42,62512,No
53,Dallas,Female,58,48655,No
54,Dallas,Male,57,55133,No
55,Dallas,Male,32,39309,No
56,Dallas,Female,55,41036,No
57,Dallas,Male,62,60594,No
58,Dallas,Female,43,46373,No
59,Dallas,Male,35,53303,No
60,Dallas,Female,31,42281,No
61,Dallas,Female,46,48268,No
62,Dallas,Male,49,36223,No
63,Dallas,Female,54,36552,No
64,Dallas,Female,63,36222,No
65,Dallas,Female,58,53333,No
66,Dallas,Female,53,40244,No
67,Dallas,Male,61,53713,No
68,Dallas,Male,44,42823,No
69,Dallas,Male,51,44030,Yes
70,Dallas,Female,44,25604,No
71,Dallas,Female,38,31953,Yes
72,Dallas,Female,57,46137,No
73,Dallas,Male,44,50089,No
74,Dallas,Male,27,53213,No
75,Dallas,Female,41,27897,No
76,Dallas,Male,43,26997,No
77,Dallas,Male,46,29374,No
78,Dallas,Male,55,44003,No
79,Dallas,Male,53,58625,No
80,Dallas,Female,43,52935,No
81,Dallas,Male,46,60637,No
82,Dallas,Male,46,27092,Yes
83,Dallas,Male,43,49741,No
84,Dallas,Female,51,31416,No
85,Dallas,Female,40,46882,No
86,Dallas,Female,34,33246,No
87,Dallas,Female,58,32567,No
88,Dallas,Male,29,49798,No
89,Dallas,Male,28,38119,No
90,Dallas,Female,30,27446,No
91,Dallas,Male,28,54937,No
92,Dallas,Female,25,34653,No
93,Dallas,Male,37,63495,No
94,Dallas,Female,62,38385,No
95,Dallas,Male,45,40789,No
96,Dallas,Male,48,62287,No
97,Dallas,Female,30,47982,No
98,Dallas,Male,44,47860,Yes
99,Dallas,Male,62,49231,No
100,Dallas,Female,48,42252,Yes
101,Dallas,Male,46,68275,No
102,Dallas,Male,48,48433,No
103,Dallas,Male,61,42379,No
104,Dallas,Male,63,44965,No
105,Dallas,Female,56,40122,No
106,Dallas,Male,63,48512,No
107,Dallas,Female,48,47466,Yes
108,Dallas,Male,47,30382,No
109,Dallas,Female,38,46733,No
110,Dallas,Female,64,40960,No
111,Dallas,Male,46,39085,No
112,Dallas,Female,59,49691,No
113,Dallas,Male,39,53649,No
114,Dallas,Male,38,37010,No
115,Dallas,Male,58,46788,Yes
116,Dallas,Male,59,61700,No
117,Dallas,Male,48,58460,Yes
118,Dallas,Female,31,19155,No
119,Dallas,Female,54,1234444,No
120,Dallas,Male,46,46954,No
121,Dallas,Male,43,64376,Yes
122,Dallas,Male,38,35911,No
123,Dallas,Female,28,48836,No
124,Dallas,Male,62,62174,No
125,Dallas,Female,62,46385,No
126,Dallas,Female,32,52215,No
127,Dallas,Male,45,36702,No
128,Dallas,Female,31,36979,No
129,Dallas,Male,37,58357,No
130,Dallas,Male,44,59426,No
131,Dallas,Female,59,48994,No
132,Dallas,Male,37,61390,No
133,Dallas,Female,35,49629,No
134,Dallas,Female,65,33676,No
135,Dallas,Female,40,45797,No
136,Dallas,Male,59,45130,Yes
137,Dallas,Male,56,43573,No
138,Dallas,Female,56,57028,No
139,Dallas,Male,53,68679,No
140,Dallas,Male,45,51435,No
141,Dallas,Male,60,48559,No
142,Dallas,Female,53,38692,Yes
143,Dallas,Female,37,46382,No
144,Dallas,Female,40,48550,No
145,Dallas,Female,56,59945,No
146,Dallas,Female,28,51127,No
147,Dallas,Male,42,26301,No
148,Dallas,Male,60,50057,No
149,Dallas,Female,58,31472,No
150,Dallas,Female,48,42926,No
151,Dallas,Male,37,60150,No
152,Dallas,Male,51,38416,No
153,Dallas,Female,54,43810,No
154,Dallas,Male,63,71551,Yes
155,Dallas,Female,36,25564,Yes
156,Dallas,Female,32,28551,No
157,Dallas,Male,48,45591,No
158,Dallas,Female,51,47559,No
159,Dallas,Male,59,53835,No
160,Dallas,Male,29,55545,No
161,Dallas,Female,27,57903,Yes
162,Dallas,Male,49,63544,No
163,Dallas,Female,54,39273,No
164,Dallas,Female,63,38841,No
165,Dallas,Female,47,48520,No
166,Dallas,Male,55,54849,No
167,Dallas,Male,45,50114,No
168,Dallas,Female,43,36894,No
169,Dallas,Male,25,42719,No
170,Dallas,Female,56,47347,No
171,Dallas,Female,54,35471,No
172,Dallas,Male,40,60636,No
173,Dallas,Female,28,48996,No
174,Dallas,Female,44,39808,No
175,Dallas,Male,47,45383,No
176,Dallas,Male,25,43413,No
177,Dallas,Female,65,50311,No
178,Dallas,Female,38,45187,No
179,Dallas,Male,54,60128,No
180,Dallas,Male,64,55066,Yes
181,Dallas,Female,38,41409,No
182,Dallas,Male,51,48899,No
183,Dallas,Female,28,32130,No
184,Dallas,Male,50,59841,No
185,Dallas,Male,47,40709,No
186,Dallas,Female,41,25012,No
187,Dallas,Male,28,40712,No
188,Dallas,Female,44,36038,No
189,Dallas,Female,56,47102,No
190,Dallas,Male,30,63365,No
191,Dallas,Male,64,22134,No
192,Dallas,Male,34,40684,No
193,Dallas,Male,52,51919,No
194,Dallas,Female,54,40526,No
195,Dallas,Male,52,48386,No
196,Dallas,Male,32,46196,No
197,Dallas,Male,51,44816,No
198,Dallas,Male,45,63285,No
199,Dallas,Female,58,19643,No
200,Dallas,Female,37,37872,No
201,Dallas,Male,56,47949,No
202,Dallas,Male,35,32404,No
203,Dallas,Male,36,70577,No
204,Dallas,Male,58,44891,No
205,Dallas,Male,40,42737,No
206,Dallas,Male,55,53217,No
207,Dallas,Male,39,53433,No
208,Dallas,Female,40,16459,No
209,Dallas,Female,27,40469,No
210,Dallas,Male,26,53774,No
211,Dallas,Male,38,34836,No
212,Dallas,Male,34,41093,No
213,Dallas,Female,47,47306,No
214,Dallas,Female,44,36304,No
215,Dallas,Female,40,32430,No
216,Dallas,Female,33,28020,No
217,Dallas,Female,41,35209,No
218,Dallas,Male,42,58206,No
219,Dallas,Female,43,41762,No
220,Dallas,Female,55,44410,No
221,Dallas,Female,51,38805,No
222,Dallas,Female,30,34105,No
223,Dallas,Male,45,59978,No
224,Dallas,Female,47,40115,No
225,Dallas,Female,61,42710,No
226,Dallas,Male,33,65152,No
227,Dallas,Female,39,57208,No
228,Dallas,Male,53,49686,No
229,Dallas,Male,57,54993,No
230,Dallas,Male,61,65721,No
231,Dallas,Female,53,26033,No
232,Dallas,Male,27,65178,No
233,Dallas,Male,26,51428,No
234,Dallas,Male,40,57497,No
235,Dallas,Male,56,42534,No
236,Dallas,Male,42,55519,No
237,Dallas,Female,29,31924,No
238,Dallas,Female,54,48411,No
239,Dallas,Male,32,51888,No
240,Dallas,Female,33,51848,No
241,Dallas,Male,49,23579,No
242,Dallas,Male,35,61320,No
243,Dallas,Male,49,40468,No
244,Dallas,Male,34,52297,No
245,Dallas,Female,61,32631,No
246,Dallas,Female,40,-654,Yes
247,Dallas,Female,52,38721,Yes
248,Dallas,Female,35,40200,No
249,Dallas,Male,45,66643,No
250,Dallas,Male,44,47535,No
251,Dallas,Male,44,37370,No
252,Dallas,Male,56,51077,No
253,Dallas,Male,56,58303,No
254,Dallas,Female,64,39930,No
255,Dallas,Male,41,61051,No
256,Dallas,Female,54,37022,No
257,Dallas,Male,56,59154,No
258,Dallas,Female,46,39067,No
259,Dallas,Male,54,51490,No
260,Dallas,Male,38,53849,Yes
261,Dallas,Male,28,44893,No
262,Dallas,Female,44,39326,No
263,Dallas,Male,28,59432,No
264,Dallas,Female,61,50101,No
265,Dallas,Male,44,41998,No
266,Dallas,Male,62,56361,No
267,Dallas,Male,50,41538,No
268,Dallas,Male,31,56304,No
269,Dallas,Male,59,45585,No
270,Dallas,Male,26,64317,No
271,Dallas,Male,47,43823,No
272,Dallas,Female,60,40457,No
273,Dallas,Female,53,33804,No
274,Dallas,Male,63,51462,Yes
275,Dallas,Male,55,48523,No
276,Dallas,Male,63,43072,No
277,Dallas,Male,43,46076,No
278,Dallas,Male,31,56275,No
279,Dallas,Female,61,42897,No
280,Dallas,Female,65,41464,No
281,Dallas,Male,34,47169,No
282,Dallas,Male,38,36525,No
283,Dallas,Female,62,34516,No
284,Dallas,Male,31,49337,No
285,Dallas,Male,60,44809,No
286,Dallas,Male,58,59434,No
287,Dallas,Female,30,37518,No
288,Dallas,Female,46,32425,Yes
289,Dallas,Male,41,45878,No
290,Dallas,Female,28,49646,No
291,Dallas,Female,38,51251,No
292,Dallas,Male,40,46114,No
293,Dallas,Female,44,54472,No
294,Dallas,Male,54,42648,Yes
295,Dallas,Female,60,37641,No
296,Dallas,Male,30,46098,No
297,Dallas,Male,26,42558,No
298,Dallas,Male,39,47005,No
299,Dallas,Male,41,51131,No
300,Dallas,Male,57,59207,Yes
301,Dallas,Male,36,64976,No
302,Dallas,Male,56,51483,No
303,Dallas,Male,34,45927,No
304,Dallas,Male,32,67322,No
305,Dallas,Male,57,37703,No
306,Dallas,Female,62,64697,No
307,Dallas,Male,61,44898,No
308,Dallas,Female,37,34153,No
309,Dallas,Male,36,57350,No
310,Dallas,Male,50,46617,No
311,Dallas,Male,46,34390,No
312,Dallas,Female,34,34927,No
313,Dallas,Male,63,59254,No
314,Dallas,Female,44,49785,No
315,Dallas,Male,44,55387,No
316,Dallas,Male,26,54192,Yes
317,Dallas,Male,50,56941,No
318,Dallas,Female,65,22225,No
